Text,Language
ألمانيا قامت سفارة ألمانيا في تونس بوضع خلية أزمة ووضعت خط هاتف أخضر للاتصال مع طاقم السفارة وتلقي آخر الأخبار في بيان لوزارة الخارجية قال وزير الخارجية فرانك-فالتر شتاينماير أنه يعبر عن دعمه الكامل لتونس وأن هذا الهجوم يعزز عزمهم على مواجة الإرهاب وعبر أيضا عن تعازيه لأقارب الضحايا,Arabic
عرض الأصفهاني مادته في منهج محدد فهو يورد أخباراً مسندة ولا يقنع بالإسناد وإنما ينتقد الرواة ويبين درجة الخطأ والتناقض في روايتهم وهو يضم الأخبار المتشابهة بعضها إلى بعض ويمزجها وينسقها بحذف العناصر المتنتقضة كما فعل في مجنون ليلى وقد اختار المؤلف أخباره وأشعاره ورواياته مما يجذب القارئ ويشوقه وكان لا يجد حرجاً في تسمية الأشياء بأشيائها حتى يمنع الملل عن قارئه ومن منهجه النقدى أنه بفصل بين سلوك الأديب وإبداعه الفنى فيروى أخباره ويورد له نصوصاً تدل على طبيعته وإن تكن بعيدة عن الأخلاق,Arabic
"باختياره اسم فرنسيس كان البابا أول حبر منذ عهد البابا لاندو  -  لا يختار اسمًا استعمله أحد أسلافه كما كان أول بابا يتسمى باسم فرنسيس التسمية جاءت تأسيًا بالقديس فرنسيس الأسيزي الذي ""لعب دورًا هامًا في تاريخ الكنيسة الكاثوليكية"" صحيفة التلغراف قالت ""إن اختيار البابا لهذا الاسم بالذات يكشف عن الخلفية التي جاء منها وطريقته المتوقعة لإدارة الكنيسة ولكنه في الوقت ذاته صعّب من مهمته في المرحلة المقبلة  إذ يعرف القديس فرنسيس الذي بزغ اسمه في القرن الثالث عشر بأنه كان من أتباع التيار الإصلاحي في الكنيسة وقد ترك حياة الترف واختار حياة الزهد تاركًا عائلته وأصدقاءه وبدأ بالدعوة إلى مساعدة الفقراء ونادى بإعادة بناء الكنيسة"" وقد أشار الأب غيليرمو ماركو أقرب مساعدي البابا أنه اختار ""هذا الاسم من أجل محاربة الفقر فلطالما كان من كبار المعجبين بفرنسيس الاسيزي"" كذلك الأمر فإن البابا بوصفه راهبًا يسوعيًا يأتي اختياره اسم فرنسيس تكريمًا للقديس فرنسيس كسفاريوس الإسباني وأحد مؤسسي الرهبنة اليسوعية التي ينتسب إليها البابا خلال لقاءه مع الصحفيين والإعلاميين بعيد انتخابه قال البابا أن الاسم الذي اختاره على اسم القديس فرنسيس الأسيزي المدافع عن الفقراء وقال البابا أنه يريد ""كنيسة فقيرة وتدافع عن الفقراء"" وأشار أيضًا إلى القديس فرنسيس بوصفه رجلاً يدافع عن السلام في عالم تتقاذفه الحروب"" وعن دفاعه ومحبته للطبيعة في عالم يتجه نحو التلوث",Arabic
الناتو أدان الأمين العام للناتو الهجوم الإرهابي بشدة وقال أن أفكاره مع أسر الضحايا وجدد أنه لا يوجد مبرر لهذه الأعمال الوحشية وأضاف أن الناتو سيواصل العمل مع شريكه في الحوار المتوسطي تونس والمجتمع الدولي بأسره في مكافحة آفة الإرهاب,Arabic
"في  قامت داعش باستهداف مقر الأمن العام ""الأسايش"" في مدينة أربيل عاصمة إقليم كردستان في شمال العراق بسيارات مفخخة وانتحاريين يرتدون أحزمة ناسفة",Arabic
استولت قوات داعش علي البلدة السورية والمدينة القديمة من تدمرو قطع رؤوس عشرات من الجنود السوريين سقط اثنين من حقول الغاز أيضا في أيدي داعش ووفقا للمرصد السوري لحقوق الإنسان أصبحت داعش بحلول ذلك الوقت تستولى علي  كيلومتر مربع من الأراضي ما يقرب من نصف الأراضي السورية,Arabic
"ويقول الجاحظ ""زعم صاحب المنطق أن قد ظهرت حية لها رأسان فسألت أعرابيًا عن ذلك فزعم أن ذلك حق فقلت له فمن أي جهة الرأسين تسعى؟ ومن أيهما تأكل وتعض؟ فقال فأما السعي فلا تسعى؛ ولكنها تسعى على حاجتها بالتقلب كما يتقلب الصبيان على الرمل وأما الأكل فإنها تتعشى بفم وتتغذى بفم وأما العض فأنها تعض برأسيها معًا فإذا هو أكذب البرية""",Arabic
هيلتوب بالإنجليزية hilltop minnesota هي مدينة تقع في ولاية مينيسوتا في الولايات المتحدة تبلغ مساحة هذه المدينة  كم² وترتفع عن سطح البحر  م بلغ عدد سكانها  نسمة في عام  حسب إحصاء مكتب تعداد الولايات المتحدة,Arabic
معركة بايا battle of baia هي معركة وقعت في  ديسمبر  بين أمير مولدافيا ستيفان الكبير وملك المجر ماتياس كورفينوس وكانت تلك المعركة آخر محاولات المجر للاستلاء على مولدافيا وضمها إلى مملكة المجر وكانت جميع المحاولات السابقة قد باءت بالفشل,Arabic
ولما أخرجه كما ينص بعض المؤرخون إلى العلن أقبل الناس عليه اقبالا شديدا حتى قيل ان الوزير الأديب الصاحب بن عباد المتوفي سنة  هـ لم يكن يفارقه قط وكان الوزير المذكور يحمل معه حمل ثلاثين جملا كتبا فلما ألف الأغاني أكتفى به,Arabic
بدا اللعب في نادى بيلا ثم انضم لناشئي النادى الأهلى ثم تصعد الفريق الأول ثم بدأ أول طريق الاحتراف في نادى فينورد الهولندى ثم توتنهام الإنجليزى ثم احترف بنادي ديربي كاونتي بدوري الدرجة الثانية الإنجليزي و انتقل بعدها إلى نادي النصر السعودي لثلاث مواسمثم انتقل للنادي الاهلي وصار كابتن الفريق و عاد إلى النصر عام  ,Arabic
وقد كُلِّف الجيش الأمريكي بالإشراف على المُنتزه بعد إنشائه فقط وفي عام  تم نقل إدارة المُنتزة إلى مصلحة خدمة المُنتزه الوطني الذي أُنشئ في العام السابق وتم بناء المئات من الهياكل وتمت حمايتها لأهميتها المعمارية والتاريخية وقد درس الباحثون أكثر من  موقع أثري,Arabic
كروسغيت بالإنجليزية crossgate kentucky هي مدينة تقع في مقاطعة جيفيرسون بولاية كنتاكي في وسط جنوب شرق الولايات المتحدة تبلغ مساحة هذه المدينة  كم² وترتفع عن سطح البحر  م بلغ عدد سكانها  نسمة في عام  حسب إحصاء مكتب تعداد الولايات المتحدة وتصل الكثافة السكانية فيها  نسمةكم,Arabic
في عام م وقعت المحاولة الثالثة للاعتداء على الزعيم مصطفى النحاس بوضع متفجرات في موتور سيارته فاكتشف أمرها وتم إبعادها ونجا الزعيم مصطفى النحاس برعاية الله ثار خلاف منذ البداية حول رغبة محمد محمود أن يضم لوزارته أكبر عدد من الدستوريين لأن حزبه حصل على الأغلبية فرفض الملك وأصر على تمثيل السعديين بنسبة معقولة واستمر الصراع مع القصر ممثلا في علي ماهر باشا رئيس الديوان الملكي,Arabic
غادر حوالي   سائح إنجليزي و سائح بلجيكي إضافة لمئات من سياح آخرين البلاد عبر مطار النفيضة الحمامات الدولي في الليلة التي تلت الهجوم في  يونيو  إذا شهد المطار في ساعات قليلة بعد منتصف الليل مغادرة أكثر من  طائرة نحو أوروبا,Arabic
تختلف أنواع المسامير باختلاف شكل السن وكذلك باختلاف شكل رأس المسمار وتتوقف خصائص أداء المسمار وما يتحمله من قوة عند ربطه علي شكل السنة التي تكون أساسا ذات مقطع مثلث أو مربع أو شبه منحرف أو أي شكل خاص وفي حالة توصيل المواسير عن طريق أطرافها فإن الجزء المقلوظ في الطرف يكون عادة مسلوبا ليزيد من قوة تماسك الماسورة وإحكامها مع الجزء الآخر كلما إزداد ربط الماسورة بإدارتها بالنسبة لهذا الجزء وبنفس الكيفية فإن المسامير التي تستخدم لربط لوحين بعضهما ببعض تكون ذات ساق مسلوب كما في حالة الماسورة فالمسمار في هذه الحالة يزيد من قوة الوصلة كلما أدرناه داخل الجزئين المطلوب ربطهما كما أنه في هذه الحالة يتم الإستغناء عن الصامولة إكتفاء بقوة التماسك بين المسمار والجزئين المربوطين ويختلف شكل رأس المسمار وبالتالي طريقة تثبيت المسمار عند ربطه باختلاف مجال استخدامه,Arabic
النرويج أدان وزير الخارجية الهجوم بشدة واعتربه وحشي وقال أنه الآن يجب على المجتمع الدولي أن يقف إلى جانب تونس في الدفاع عن التطور الديمقراطي الإيجابية في البلاد,Arabic
تعد أحماض البورونيك من أحماض لويس ويقدّر ثابت تفكك الحمض pka لهذه الأحماض ~  بشكل عام ولكن بعض الأحماض لديها القدرة على تشكيل معقدات بورونات رباعية السطوح ذات pka ~,Arabic
بلدية توبايلا ديل لاغو بالإسبانية tubilla del lago هي إحدى بلديات مقاطعة برغش التي تقع في منطقة قشتالة وليون والتي تقع في شمال غرب إسبانيا,Arabic
كتاب الأغاني من أغنى الموسوعات الأدبية التي أُلفت في القرن الرابع الهجري وهو مؤلَّف ضخم ألفه أبو الفرج الأصفهاني المتوفى عام هـ ومادته تقوم على جمع المؤلف للأغاني المتميزة أصوات في عصره والعصور السابقة عليه مع ذكر لطرائق الغناء فيها ثم يتبع ذلك بشروح وتعليقات لما تحويه هذه الأصوات من أشعار وإشارات وقد استغرق تأليف الكتاب زهاء خمسين عامًا,Arabic
تتكون أغلب المنتجات الصناعية من أجزاء يتم تشكيلها وتجهيزها كل على حدة قبل تجميعها في الشكل النهائي طبقا للتصميم الموضوع ويتم نوصيل أجزاء المنتج النهائي بعضها ببعض إما توصيلًا دائمًا أو مؤقتًا حسب وظيفة المنتج,Arabic
في سبتمبر  تم التوقيع على إتفاقية شراكة بين الجامعة التونسية لكرة القدم و باعث قناة نسمة السيد نبيل القروي و تهدف هذه الشراكة بنقل مباريات البطولة على الهواتف الذكية و ااحواسيب بموقع جديد يسمى نسمة سبور بالفرنسيةnessma sport لأن بعض مباريات الفرق الضعيفة لم تكن تجرى على القنوات التلفزية و أكد رئيس الجامعة التونسية لكرة القدم السيد وديع الجريئ بأن هذه ستكون بادرة طيبة,Arabic
ظلت المماطلة في موضوع الحدود تجر فصولاً  ولم تبدأ المفاوضات الجدّية الوحيدة حول الحدود إلاّ في عهد علي عبد الله صالح فبينما كانت العهود السابقة التي تعاقبت على اليمن تتهرب وتماطل في النظر بمعاهدة الطائف كان موقف الرئيس علي عبد الله صالح أوضح المواقف وأجرأها  وعندما تحركت قضية الوحدةبينصنعاء وعدن بشكل جدّي وبات تحقيقها قرابة قوس أو أدنى زار الرئيس صالح الملك فهد في حفر الباطن قادماً من عمان بعد انعقاد قمة مجلس التعاون العربي في مارس   أراد صالح من زيارته إقناع الملك فهد بتأييد الوحدة بين شطري اليمن لأنها ستجعل من الممكن حسم موضوع الحدود بعد أكثر من نصف قرن من المراوغة وأن بدء مفاوضات جدّية حول كل قضايا الحدود القديم منها والجديد والذي تشمله معاهدة الطائف أو لا تشمله أصبح ضرورياً ضرورة مطلقة ويبدو أن الملك فهد اقتنع بمنطق الأمور كما شرحه له الرئيس صالح فخرج من الاجتماع ليعلن من حفر الباطن ,Arabic
سورية اليوم-جان هيرو-ترجمة الياس ملكي-منشورات المكتب العربي في باريس-منشورات جون أفريكص خريطة الساحل ووادي العاصي ويظهر فيها أن جسر الشغور محاطة بجبال من الشمال جبل النجاري ومن الجنوب الغربي جبال العلويين ومن الشرق جبل الاستاني الوسطانيومن الجنوب الشرقي جبل عربينالمقصود جبل الأربعين وجبل الزاوية,Arabic
فقد كانت بريطانيا قد رسمت حدود اليمن الجنوبي أو ما كان يسمى باتحاد الجنوب العربي معالسعودية وسمي «خط الاستقلال» الذي لم تعترف به السعودية ومع بداية الاستقلال في عدن في عهد الرئيس سالم ربيع علي  بدأ أول رئيس لجمهورية اليمن الديمقراطية الشعبية جنوب اليمن حوارات محدودة مع السعودية حول الحدود بين البلدين ووافقت حكومة الرئيس قحطان الشعبي على تشكيل لجنة يمنية جنوبية ـ سعودية لبحث موضوع الحدود لكن هذه اللجنة لم تجتمع قط,Arabic
سان ميكيلي دي غانزاريا بالإيطالية san michele di ganzaria هي بلدة تقع في مقاطعة كاتانيا في صقلية في إيطاليا  و تقع على بعد  كم جنوب غرب من باليرمو و جنوب شرق عن كاتانيا  كم ,Arabic
تؤدي طرق المتنزه لميزات رئيسية ومع ذلك فقد نتج من إعادة بناء الطرق إغلاق مؤقت للطريق فـ يلوستون في وسط مجهود لإعادة بناء على المدى البعيد والذي أُعيق بواسطة موسم إصلاحات قصير وفي الشتاء تغلق جميع الطرق في وجه المركبات ذات العجلات ماعدا الطريق الذي يدخل من غاردينر مونتانا ويمتد إلى مدينة كوك مونتانا وتغلق الطرق في وجه المركبات ذات العجلات من بداية شهر نوڤمبر حتى منتصف شهر أبريل لكن بعض طرق المتنزه تبقى مغلقة حتى منتصف شهر مايو ويمتلك المتنزه  ميلاً  كلم من الطرق المرصوفة والتي يمكن الدخول إليها من خمسة مداخل مختلفة ولا تتوفر المواصلات العامة داخل المتنزه لكن يمكن التواصل مع عدة شركات سياحية للمواصلات ذات المحركات الموجهة وفي الشتاء يشغل الملتزمون عربات ثلوج موجهة وعربات ثلج على الرغم من أن أعدادها والوصول إليها يعتمد على حصص مؤسسة بناء على خدمة المتنزه الوطني وتكون المرافق في مناطق ذا أولد فايثفول كلنيون ينابيع الماموث الحارة مشغولة جداً في شهور الصيف وتتسبب زحمة الطرقات الذي تسببها أعمال بناء الطرق أو الأشخاص الذين يرصدون الحياة البرية في تأخير طويل,Arabic
بعد إطلاقه في عام  بـطاقة سعة  ميغاواط أصبحت المحطة سابع محطة للطاقة الشمسية في العالم بعد المحطات الخمسة الأمريكية الأولى ومحطة سولابين الإسبانية,Arabic
ويستفاد من هذه الخاصية استفادة رئيسة في إرسال عينات لإشارات أخرى متعددة ومستقل بعضها عن بعض في الزمن الفاصل بين كل عينتين متتاليتين من الإشارة المنقولة وهو ما يعرف بالتنضيد بالتقسيم الزمني time division multiplexing tdm,Arabic
"في عام  كرئيس أساقفة و كاردينال بوينس آيرس قدم بيرجوليو النسخة النهائية من البيان المشترك الصادر عن أساقفة أمريكا اللاتينية المسمى ""وثيقة أباريسيدا"" بعد إقراره من قبل البابا بندكت السادس عشر نصت الوثيقة على ضرورة الامتثال و قبول تعاليم الكنيسة ضد ""جرائم نكراء"" مثل الإجهاض والقتل الرحيم ""نأمل أن المشرعين ورؤساء الحكومات والعاملين في مجال الصحة سيدركون كرامة الحياة الإنسانية وأهمية العائلة في شعوبنا و سيدافعون عن حمايتها من جرائم نكراء مثل الإجهاض والقتل الرحيم وهذه هي مسؤوليتهم ونحن نلزم أنفسنا ""تماسك إفخارستي"" بما معناه يجب أن نكون واعين بأن الناس لا يستطيعون الحصول على القربان المقدس وفي الوقت نفسه هم يعملون ضد الوصايا ولا سيما عندما يوافقون على الإجهاض والقتل الرحيم وغيرها من الجرائم الخطيرة ضد الحياة والعائلة وهو ينطبق بشكل خاص على مسؤولية المشرعين والحكام والعاملين في مجال الصحة"" وقد وصف الحركة المؤيدة للإجهاض باعتباره ""ثقافة الموت"" و كان يعارض توزيع وسائل منع الحمل مجانًا في الأرجنتين",Arabic
"أبو محمد الجولاني واسمه الحقيقي أسامة العبسي الواحدي ولد في بلدة الشحيل بمدينة دير الزور عام م من عائلة أصلها من محافظة إدلب ويلقب بالفاتح ويعرف بكنيته وهو قائد ""جبهة النصرة لأهل الشام"" والتي تأسست بعد أشهر من اندلاع الثورة السورية المرتبطة بتنظيم القاعدة وقد أعلن انفصاله عنها بتاريخ  وتغير اسم التنظيم من ""جبهة النصرة لأهل الشام"" إلى ""جبهة فتح الشام""",Arabic
ثانيا اننا نعتبر هذه المعركة معركة تحدي بين الأرادة الفلسطينية المتمثلة في المقاتل المفلسطيني الثوري وبين الإرادة الصهيونيو المتمثلة بالصهيوني المخادع والغازي والمغتصب ولقد تمكنت إرادتنا من اقتياد وزير دفاع العدو وكبار المسؤولين الصهاينة إلى المطار اخضعناهم خلالها إلأى اقسى الظروف وتمكنا من اذلالهم على مدار أكثر من عشرين ساعة,Arabic
الأمم المتحدة تتخذ قرارًا يقضي بإنهاء اتفاقية الوصاية التي فرضتها على تنجانيقا الواقعة حاليًا في تنزانيا والصادرة عام  وقد أصبحت تنجانيقا مستقلة ضمن رابطة الشعوب البريطانية,Arabic
"وتتعلق الفكرة الرئيسية الأخرى في برن طبيعة القرون الوسطى بلجيكا بلجيكا كدولة مستقلة قد بدأ جيل قبل الميلاد في برن؛ وعلى مر التاريخ الغربي في الثروات ربط مع البلدان ذات الآن تشمل هولندا و لوكسمبورغ وأجزاء من شمال شرق فرنسا وعلاوة على ذلك تقع بلجيكا أثوارت الفجوة اللغوية كبيرة بين الفرنسية و الهولندية قد تظهر وحدة البلاد عرضي شيء ما الذي سعى برن لدحض في تاريخ بلجيكا - وأثبتت أيضا مثيرة للجدل أفكاره هنا تشجيع نوع من النزعة القومية البلجيكية مع كثير من المؤرخين مفضلة أن نشدد على الوحدة الاقتصادية للبلدان ذات ككل برن هنري تبرعت أغلبية مكتبته الشخصية إلى بلجيكا الأكاديمية في روما وفي عام  قد منح جائزة فرانككوي ""العلوم الإنسانية""",Arabic
ويجب ألا تقل المسافة بين مركز ثقب البرشام وطرف اللوح عن ٫ ق كما يعتمد طول ساق مسمار البرشام علي سمك الألواح التي تجري برشمتها وعلي شكل الرأس الحابسة حيث تشكل هذه الرأس الحابسة من الجزء البارز للساق ويبلغ طول الساق اللازم لتشكيل الرأس الغاطسة٫–٫ ق والرأس نصف الكروية٫–٫ من قطر المسمار وبهذه الطريقة يجب أن يكون الطول الكلي لساق المسمار في حالة الرأس الغاطسة كما يلي,Arabic
النمسا قال وزير الخارجية النمساوي سيباستيان كورتس أنه يدين بأشد العبارات هذا الهجوم الذي وصفه بالجبان والهمجي وقال أن بلاده ستقف مع تونس في هذا الوقت وقال أن طاقم السفارة في تونس هو على عين المكان في سوسة للإحاطة بالجالية والسياح النمساويين هناك,Arabic
"أحدث جامعة اسكتلندية هي جامعة الأراضي المرتفعة والجزر بالإنجليزية university of the highlands and islands التي نالت صفة جامعة سنة  وتلعب الجامعات المفتوحة دورًا في قطاع التعليم الجامعي الاسكتلندي جنبًا إلى جنب مع الجامعات التقليدية حيث يدرس بها  من ""طلبة نصف الوقت"" بالمرحلة الجامعية الأولى في اسكتلندا",Arabic
طلب پاور من ويليمز المجيء إلى محطة مورجيت في اليوم التالي وقد حاصرت الشرطة ذلك المكان وقبضت على ويليمز وپاور معا ثم قامت بتغطية وجه ويليمز حتى لا يتمكن أحد من تصويره وقد نجحوا في ذلك فلم يستطع أحد رؤية وجه القاتل ومن ثم حرروا پاور مباشرة,Arabic
"كل هيجان هو جزء من دائرة إنفجارية تبلغ ذروتها مع انهيار سطح حجرة الصهارة الفارغة جزئياً مما يُحدث منطقة ضغط شديدة الإنخفاض تسمى بـ""كالديرا"" والتي تقوم بإطلاق كميات هائلة من المواد البركانية عادة ما تكون عن طريق تصدعات تحيط بالكالديرا؛ وتراوحت الفترة الزمنية التي تفصل ما بين آخر ثلاث ثورات كارثية في منطقة يلوستون ما بين  إلى  عاماً ولكن لا يمكن للرقم الصغير للثورات المناخية أن يستخدم في التنبؤات الدقيقة للأحداث البركانية المستقبلية",Arabic
قطر أدانت قطر واستنكرت الهجوم بشدة وقالت أن الهجوم يتنافى مع كافة القيم والأخلاق والمبادئ الانسانية والشرائع السماوية وشددت علط وجوب تكاتف القوى الإقليمية والدولية لمجابهة الإرهاب والتطرف وعبرت عن تعازيها الصادقة للشعب التونسي في هذه الجريمة,Arabic
غرابيب سود مسلسل دراميّ من إنتاج إم بي سي يدخل منطقة ساخنة ترصد الممارسات الإرهابية التي تتخذ من الدين ستاراً بطريقة مثيرة للجدل حيث يعتبر هذا المسلسل متوافق بشكل كبير مع رواية النظام السوري يحكي المسلسل عن قصة داعش وكيفية تواجده في كل من العراق و سوريا كما يتطرق إلى الجرائم المرتكبة في حق الإنسان وكيفية استغلال عقول الشباب لدفعهم للقيام بالأعمال الانتحارية كما يبين هذا المسلسل بعض أعمال العنف التي قام بها التنظيم كعملية إعدام  قبطيا في ليبيا وتفجير المساجد والعديد من العمليات الأخرى,Arabic
يصل إسرائبل عبر مضيق باب المندب  ناقلة نفط مختلفة الإحجام تنقل حوالي  مليون طن من النفط وخلال الحصار لم تدخل ناقلة نفط واحدة حتى  نوفمبر حينما سمح السادات بدخول ناقلة نفط إسرائيلية وقد نفذت البحرية المصرية واجبها في الحرب باغلاق مضيق باب المندب على بعد  كم عن أقرب ميناء مصري,Arabic
في السنوات الأخيرة اكتسب المصطلح العام اللاسلكي شعبية متجددة حتى بالنسبة للأجهزة التي تستخدم الإشعاع الكهرومغناطيسي من خلال النمو السريع لشبكات الحواسيب قصيرة المدى مثل شبكة المنطقة المحلية اللاسلكية  واي-في وبلوتوث وكذلك الهواتف النقالة مثل الهواتف المحمولة غسم و أومتس اليوم مصطلح راديو يحدد جهاز الإرسال والاستقبال أو رقاقة في حين أن لاسلكي يشير إلى عدم وجود اتصالات المادية؛ وبالتالي المعدات تستخدم جزءا لا يتجزأ من أجهزة الإرسال والاستقبال الراديو ولكن تعمل كأجهزة لاسلكية عبر شبكات الاستشعار اللاسلكيةأنظمة الراديو المستخدمة للاتصال لديها العناصر التالية مع أكثر من  عاما من التنمية ويتم تنفيذ كل عملية من قبل مجموعة واسعة من الأساليب والمتخصصة لأغراض الاتصالات المختلفة,Arabic
