Text,Language
peugeot  aslında peugeot efsane kuşağının  ürünüdür bu efsanenin diğer sürümleri  öncesi     ve   sonrası olarak       ve   olarak alınmıştır,Turkish
Ihr zwei seid so nett,German
"டெர்ரி நீங்கள் உண்மையில் அந்த தேவதையைப் போலவே தோற்றமளிக்கிறீர்கள், ஆனால் நீங்கள் எப்படி இருக்க முடியும் என்று நான் பார்க்கிறேன், நீங்கள் இருவரும் மிகவும் அழகாக இருக்கிறீர்கள்",Tamil
"terry du ser faktisk lidt ud som den engel, men hvad ser jeg, hvordan kunne du være ham, I to er så flinke",Danish
ಟೆರ್ರಿ ನೀವು ನಿಜವಾಗಿಯೂ ಆ ದೇವದೂತನಂತೆ ಸ್ವಲ್ಪ ಕಾಣುತ್ತಿದ್ದೀರಿ ಆದರೆ ನಾನು ಏನು ನೋಡುತ್ತಿದ್ದೇನೆ ನೀವು ಹೇಗೆ ಅವನಾಗಬಹುದು ನೀವು ಇಬ್ಬರು ತುಂಬಾ ಒಳ್ಳೆಯವರು,Kannada
"Terry, στην πραγματικότητα μοιάζεις λίγο με αυτόν τον άγγελο, αλλά αυτό που βλέπω πώς θα μπορούσες να είσαι εσύ και οι δύο είναι τόσο καλοί",Greek
यी की अपनी चित्रलिपि पर आधारित एक लिपि है जिसमें  -  चिह्न हैं। हालांकि चीनी भावचित्र में एक प्रकार की चित्रलिपि पर आधारित हैं लेकिन चीनी लिपि और यी लिपि में कोई सम्बन्ध नहीं मिला है। आधुनिक यी लिपि को नोसू ब्बर्मा ꆈꌠꁱꂷ nuosu bburma कहा जाता है।,Hindi
在演说中，他呼吁全人类团结起来，共同反对专制、贫困、疾病和战争，他在演说中提到的：“不要问你的国家能为你做些什么，而要问你能为你的国家做些什么。”（ask not what your country can do for you ask what you can do for your country）更是成为了美国总统历次就职演说中最脍炙人口的语句之一。在演说的最后，他强调了他在国际主义上的渴望：“最后，不管你是美国的公民还是世界的公民，请以对你们自己的高标准，来要求我们。”在他的就职演说后，约有四分之三的美國民众认可了新总统。这表明肯尼迪平稳地渡过了权力交替期。,Chinese
artemisina plumosa adalah spesies spons yang tergolong dalam kelas demospongiae spesies ini juga merupakan bagian dari genus artemisina dan familia microcionidae nama ilmiah spesies ini pertama kali diterbitkan pada tahun  oleh hentschel,Indonesian
通称「モモ」。年組の女子生徒。お下げ髪にぽっちゃりした感じの顔つきが特徴（スズとは「ポッチャリーズ」というくくりで紹介されることもある）。いつもニコニコ、冷静だが、腹黒いところも。また「無意味かつ悪シュミな冗談」が好き。サヨとは小学校（公立）の同級生だが、同じ班になったことがある程度の面識。「部」への復帰を目論むナナとは違い、「同好会」では「楽しく新聞を作れればいい」と、それほど「部」への固執はない様子 。,Japanese
보건복지부 내부에서도 일단 환영 입장이다 행정부 내에서 보건복지부의 위상을 높일 수 있는 찬스가 될 수 있기 때문이다 더불어 고위공무원 인사적체를 해결할 수 있고 업계의 주장처럼 보건의료와 사회복지 분야 업무가 보다 효율적으로 이뤄질 수 있는 계기도 될 것이라는 의견이다 하지만 오히려 비효율성이 부각돼 다른 부처에 업무를 뺏기는 계기가 될 수 있다는 판단에 조심스러운 분위기다 저출산고령사회정책실 업무 중 일부는 여성가족부와도 맥을 같이 하고 보건산업 분야는 지식경제부와 맞물리기 때문이다,Korean
" Nature, in the broadest sense, is the natural, physical, material world or universe.",English
"""Nature"" can refer to the phenomena of the physical world, and also to life in general.",English
"The study of nature is a large, if not the only, part of science.",English
"Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.",English
"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English
"[2] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord.",English
"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English
"During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.",English
"[5][6] With the Industrial revolution, nature increasingly became seen as the part of reality deprived from intentional intervention : it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).",English
"However, a vitalist vision of nature, closer to the presocratic one, got reborn at the same time, especially after Charles Darwin.",English
"[1] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.",English
"Nature can refer to the general realm of living plants and animals, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.",English
"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.",English
"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English
"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English
"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.",English
"[1] Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.",English
"Within the solar system, it is third closest to the sun; it is the largest terrestrial planet and the fifth largest overall.",English
"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English
"[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English
71 percent of the Earth's surface is covered by salt-water oceans.,English
"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English
Earth has evolved through geological and biological processes that have left traces of the original conditions.,English
The outer surface is divided into several gradually migrating tectonic plates.,English
"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English
"This iron core is composed of a solid inner phase, and a fluid outer phase.",English
"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English
"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English
"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English
[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English
"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English
"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English
"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English
"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English
"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English
"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English
"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English
"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English
[12] The moon formed roughly 20 million years later.,English
"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English
Outgassing and volcanic activity produced the primordial atmosphere.,English
"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English
"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English
"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English
"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English
"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English
"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English
oyama station was opened on  april  the station was absorbed into the jr east network upon the privatization of the japanese national railways jnr on  april  a new station building was completed in march ,English
in court hearst made a poor impression and appeared lethargic according to an associated press report this was attributable to drugs she was given by prison doctors bailey was heavily criticized for his decision to put hearst on the stand then having her decline to answer questions in the presence of the jury according to alan dershowitz bailey was wrong-footed by the judge appearing to indicate she would have fifth amendment privilege the jury would not be present or be instructed not to draw inferences on matters subsequent to the hibernian bank charges that she was being tried on but then changing his mind,English
the cultural association friends of skyritida opened a folklore museum in kollines in  located in the high school the museum displays tools clothes photographs and other print material to show how the older generations lived in the area,English
"stuhler barbara ""organizing for the vote leaders of minnesotas woman suffrage movement"" minnesota history  no  fall -",English
on august   mgm home entertainment released escape from new york as a bare-bones blu-ray scream factory in association with shout factory released the film on a special edition blu-ray on april  ,English
this is reggae music the golden era - is a reggae retrospective anthology issued as a -cd box set in  by trojan records the anthology which was compiled by colin escott and bas hartong is arranged in chronological order and features tracks by various artists starting with mento and ska from first half of the s then progressing to the slower rhythms of rocksteady and reggae which emerged later the decade continuing into the s several of the acts featured are derrick morgan desmond decker the aces toots  the maytals jimmy cliff and bob marley and the wailers,English
inclusive democracy as a political project for a new libertarian synthesis  rationale proposed social structure and transition talk at the cnt centenary conference on self-management barcelona april  ,English
"she was now recognised as a prominent young poet and the polish national radio offered her a job to create and lead a team to broadcast the radio song studio she also worked on theatre and television productions together with composer adam sławiński she wrote a series called „listy śpiewające“ ""singing letters“ her first major theatre show „niech no tylko zakwitną jabłonie“ ""let the apple-trees bloom"" was staged at the ateneum theatre",English
at about the same time as the att building johnson and burgee completed other remarkable postmodern skyscrapers the bank of america center formerly republic bank center in houston  and the ppg place the headquarters of the pittsburgh plate glass company – both buildings combined modern materials construction and scale with suggestions of traditional architecture the forms of ppg place suggested the neogothic tower of the houses of parliament in london while the bank of america center appeared inspired on a colossal scale the stepped houses of flemish renaissance architecture,English
"in  shealy worked on the campaign of state senator catherine ceips tom davis the former chief of staff to mark sanford was expected to announce that he would be running against ceips davis house was being painted at the time ceips chief of staff randy bates arrived at the house and spoke with josias mirales ayala who claimed to be an illegal immigrant hired to paint davis house shealy subsequently submitted a photograph of ayala to associated press reporter jim davenport and explained that he was an illegal alien davis condemned the action saying ""i call on ms ceips to fire rod shealy and randy bates the two operatives who carried out this dirty trick""",English
glaser has written for the london review of books new statesman and times higher education she has blogged for the huffington post and is a contributor to the guardian where she has written articles on contemporary propaganda fake authenticity astroturf politics cyber-utopianism and the ideology of natural childbirth glaser is a regular contributor to producer of and sometime presenter for bbc radio  and radio ,English
columbia high school is a four-year comprehensive regional public high school in maplewood new jersey which serves students in ninth through twelfth grades as the lone secondary school of the south orange-maplewood school district which includes maplewood and south orange neighboring communities in essex county new jersey united states the school has been accredited by the middle states association of colleges and schools commissions on elementary secondary schools since ,English
following the album’s release in january  the live band embarked on a us tour with the southern california reggae band fortunate youth johnny cosmic a multi-instrumentalist made his debut appearance as a member of the stick figure live band on this tour playing keyboards singing backup vocals and playing guitar,English
breaking away  news  review led  weeklies in a national effort to cover the issue of priests who leave the catholic church because they can no longer live with the celibacy requirements,English
wright made one appearance for an england xi side that played an anglo-scots team in the king george v jubilee trust fund friendly held at highbury on  may  a crowd of  witness the – defeat for the england side with manchester uniteds george mutch scoring the only goal of the game,English
louis jolyon west was appointed by the court in his capacity as a brainwashing expert and worked without fee after the trial he wrote a newspaper article asking president carter to release her from prison,English
the relay teams consist of four biathletes legs  and  are done by the women legs  and  by the men the womens legs are  km and mens legs are  km every athletes leg is skied over three laps with two shooting rounds one prone one standing for every round of five targets there are eight bullets available though the last three can only be single-loaded manually one at a time from spare round holders or bullets deposited by the competitor into trays or onto the mat at the firing line if after eight bullets there are still misses one  m penalty loop must be taken for each missed target remaining the first-leg participants all start at the same time and as in cross-country skiing relays every athlete of a team must touch the teams next-leg participant to perform a valid changeover on the first shooting stage of the first leg the participant must shoot in the lane corresponding to their bib number bib  shoots at lane  regardless of their position in the race then for the remainder of the relay the athletes shoot at the lane in the position they arrived arrive at the range in th place shoot at lane five,English
"johnson continued to add to the glass house estate during each period of his career he added a small pavilion with columns by the lake in  an art gallery set into a hillside in  a postmodern sculpture gallery with a glass roof in  a castle-like library with a rounded tower in  a concrete block tower dedicated to his friend lincoln kirstein the founder of the new york city ballet a chain-link ""ghost house"" dedicated to frank gehry",English
on  august  carvajal started in the uefa super cup clash against sevilla in trondheim and scored the final – in the th minute after an individual effort during the league season in spite of several physical ailments he still contributed with  games to help the team be crowned champions after nearly one month on the sidelines he returned to action just in time to start at the champions league final on  june which they won for the third time in four years,English
on  october  katsikas signed a four years contract with paok after he was released from iraklis on  january  he made his debut for the club in - home win against levadiakos he scored his first goal for paok against rapid wien in august  while his first league goal came into the local derby between paok and aris in a - win for paok on april   george katsikas along with fanis tzandaris have solved their contracts with paok receiving his payment till the end of the season,English
after retiring from cricket in  sohail became chief selector for the national team his tenure ending in january  when he was replaced by former national team wicketkeeper wasim bari he continues to work as a cricket broadcaster on -feb- he was again appointed as chief selector of the national team for the second time,English
valdivel jayalakshmi born  august  is an indian sprinter she competed in the womens  ×  metres relay at the  summer olympics,English
soggin was born on  march  he took his first degrees in law at the sapienza university of rome and in theology at the waldensian theological seminary in rome,English
riscos ltd was formed to continue end-user-focused development of risc os after the de-listing of acorn computers following its purchase by morgan stanley dean witter in order to benefit from the shareholding that acorn held in arm ltd in march  riscos ltd obtained exclusive rights to develop and sell risc os  for the desktop market from element  a few weeks later pace purchased acorns cambridge headquarters and staff for £ and then continued to develop its own in-house version of risc os primarily for set-top boxes and other embedded devices,English
reproduction lightning rifles are still manufactured today by companies such as uberti taurus and pedersoli for hunting historical reenactment and competition purposes such as cowboy action shooting in calibers such as  special magnum - and  colt of these calibers only the - was offered in the lightning when it was originally produced by colt,English
in  the news  review led a nationwide project letters to the future asking authors artists scientists and other to write to future generations predicting the success or failure of the  un climate talks in paris hundreds of letters were collected and presented to diplomats present in paris including letters penned by michael pollan jane smiley stephen robinson aisha kahlil t c boyle kim stanley robinson annie leonard roxana barry robinson jack miles pam houston geraldine brooks writer rebecca goldstein lois wolk harry reid brent bourgeois and others,English
on october   it was announced that kennedy had been diagnosed with early-stage parkinsons disease and would be leaving the team to undergo treatment kennedy said he planned to return following treatment and temporarily put associate coach glynn cyprien in charge of the team,English
in the origins the village of bussy appeared in  under the roman name of villa buxido in  the territory formed a large parish under the protection of saint-georges nevertheless the full name of bussy-saint-georges only appeared in the th century the name of bussy comes from buscus because of the citys native environment initially composed of woods and lots of groves in the middle ages bussy-saint-martin et bussy-saint-georges was unified under a unique landlord authority the lords of bussy here is the list of the successive lords of bussy,English
teresa wright - class of  academy award-winning actress whose films include mrs miniver shadow of a doubt and the pride of the yankees,English
"the harrell formation was first described by charles butts in  hasson and dennison  state ""the harrell shale consists of very dark gray thinly laminated platy- to sheety-weathering shale underlain in certain areas by the grayish black shale of the burket member""",English
the film was scheduled to start shooting in september  but it had to be postponed due to russias defense ministry not issuing a permit for the shoot in the country which would run for about a month according to the hollywood reporter russias defense ministry originally promised cooperation with the crew wanting to provide realism expertise to the movie but later it reportedly grew concerned about granting access to classified information and locations on  february  screendailycom reported that shooting was scheduled to start in april,English
she was born in  august  the daughter of curt carlson who founded the company in  she received a bachelors degree from smith college in ,English
"at the time page conceived of backrub the web comprised an estimated  million documents with an untold number of links between them the computing resources required to crawl such a beast were well beyond the usual bounds of a student project unaware of exactly what he was getting into page began building out his crawler the ideas complexity and scale lured brin to the job a polymath who had jumped from project to project without settling on a thesis topic he found the premise behind backrub fascinating ""i talked to lots of research groups"" around the school brin recalls ""and this was the most exciting project both because it tackled the web which represents human knowledge and because i liked larry""",English
rêve de la mère a statue erected in  dedicated to the boat people and refugees from the vietnam war bussy-saint-georges is home to a significant vietnamese population and the statue is a symbol for vietnamese refugees seeing france as a free nation and is a reminder for french-born vietnamese of their ancestral roots and culture,English
even though pages new model was unsustainable and led to disgruntlement among the affected employees his issue with engineers being managed by non-engineering staff gained traction more broadly eventually the practice of only instating engineers into the management roles of engineering teams was established as a standard across silicon valley,English
sbi route  originally ran from lanark to starks it was extended east in  and  to east dundee and then to chicago in  the designation of il  was truncated back to il  harlem avenue lopping off  miles  km in  it was shortened again this time to illinois route ,English
in july  m hugues rondeau who has been the mayor from  until  was considered as guilty by french justice for illegal taking of interest and condemned to six months of suspended prison payment of  euros for damage and interest and ineligibility for five years ,English
"the designs of barron and chubb were based on the use of movable levers but joseph bramah a prolific inventor developed an alternative method in  his lock used a cylindrical key with precise notches along the surface these moved the metal slides that impeded the turning of the bolt into an exact alignment allowing the lock to open the lock was at the limits of the precision manufacturing capabilities of the time and was said by its inventor to be unpickable in the same year bramah started the bramah locks company at  piccadilly and displayed the ""challenge lock"" in the window of his shop from  challenging ""the artist who can make an instrument that will pick or open this lock"" for the reward of £ the challenge stood for over  years until at the great exhibition of  the american locksmith alfred charles hobbs was able to open the lock and following some argument about the circumstances under which he had opened it was awarded the prize hobbs attempt required some  hours spread over  days",English
page and brin used the formers basic html programming skills to set up a simple search page for users as they did not have a web page developer to create anything visually elaborate they also began using any computer part they could find to assemble the necessary computing power to handle searches by multiple users as their search engine grew in popularity among stanford users it required additional servers to process the queries in august  the initial version of google still on the stanford university website was made available to internet users,English
the glycerol--phosphate shuttle is a mechanism that regenerates nad from nadh a by-product of glycolysis its importance in transporting reducing equivalents is secondary to the malate-aspartate shuttle,English
the three species in otospermophilus are listed below these are the same species that were previously grouped in the subgenus otospermophilus,English
"backrub already exhibited the rudimentary functions and characteristics of a search engine a query input was entered and it provided a list of backlinks ranked by importance page recalled ""we realized that we had a querying tool it gave you a good overall ranking of pages and ordering of follow-up pages"" page said that in mid- they finally realized the further potential of their project ""pretty soon we had  searches a day and we figured maybe this is really real""",English
the sidebar lock operates using fins on a radial key that actuate sidebars that align with a cylindrical code bar within the lock this is a new type of master key technology developed by the australian lock company the keys and the code bar are cut using a computer numerical control cnc machine,English
if we see it as a process of social self-institution where there is no divinely or objectively defined code of human conduct such guarantees are by definition ruled out therefore the replacement of the market economy by a new institutional framework of inclusive democracy constitutes only the necessary condition for a harmonious relation between the natural and social worlds the sufficient condition refers to the citizens level of ecological consciousness still the radical change in the dominant social paradigm that would follow the institution of an inclusive democracy combined with the decisive role that paedeia will play in an environmentally-friendly institutional framework could reasonably be expected to lead to a radical change in the human attitude towards nature,English
the boys lacrosse team won the overall state championship in  defeating montclair high school in the final game of the toournament and  vs west morris central high school,English
during the th century the town was in the county of lagny with a population from  to  inhabitants two ordinances  june  and  august  reduced the territory of bussy in favour of the territories of ferrières and jossigny,English
during her stint on the thunderbolts team her powers have grown she is now fast enough to match the speed demon in hand-to-hand and is described as being the living embodiment of action after turning on her teammates she was subdued and was last seen in prison,English
"during the late s and early s coburn cultivated an image synonymous with ""cool"" and along with such contemporaries as lee marvin steve mcqueen and charles bronson became one of the prominent ""tough-guy"" actors of his day",English
alba lucía riquelme valenzuela born february   in asunción paraguay is a paraguayan model and beauty pageant titleholder who was crowned miss universo paraguay  and represented her country in the  miss universe pageant she is not related to fellow paraguayan model larissa riquelme,English
in a playing career that spanned eighteen years sohail played in  first-class and  list a limited overs matches including  test matches and  one day internationals for pakistan,English
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English
"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English
"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English
"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English
"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English
Other lakes are found in endorheic basins or along the courses of mature rivers.,English
"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English
"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English
"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English
"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English
Ponds and lakes are distinguished from streams via current speed.,English
"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English
"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English
"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English
"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English
Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English
[39] A river is part of the hydrological cycle.,English
"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English
"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English
"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English
The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English
"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English
"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English
[41] The structure and composition is determined by various environmental factors that are interrelated.,English
Variations of these factors will initiate dynamic modifications to the ecosystem.,English
"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English
"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English
: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English
"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English
[44] A smaller unit of size is called a microecosystem.,English
"For example, a microsystem can be a stone and all the life under it.",English
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English
"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English
"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English
"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English
"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English
[47] Life may also be said to be simply the characteristic state of organisms.,English
"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English
An entity with these properties is generally considered life.,English
"However, not every definition of life considers all of these properties to be essential.",English
Human-made analogs of life may also be considered to be life.,English
"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English
"The entire Earth contains over 75 billion tons (150 trillion pounds or about 6.8×1013 kilograms) of biomass (life), which lives within various environments within the biosphere.",English
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English
"[49] More than 2 million species of plant and animal life have been identified to date,[50] and estimates of the actual number of existing species range from several million to well over 50 million.",English
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English
[54][55] The total number of species is in rapid decline.,English
"[56][57][58] The origin of life on Earth is not well understood, but it is known to have occurred at least 3.5 billion years ago,[61][62][63] during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present.",English
[64] These life forms possessed the basic traits of self-replication and inheritable traits.,English
"Once life had appeared, the process of evolution by natural selection resulted in the development of ever-more diverse life forms.",English
Species that were unable to adapt to the changing environment and competition from other life forms became extinct.,English
"However, the fossil record retains evidence of many of these older species.",English
Current fossil and DNA evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms.,English
[64] When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms.,English
[65] The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer.,English
The incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes.,English
"[66] Cells within colonies became increasingly specialized, resulting in true multicellular organisms.",English
